Date,AQI,TEMP
2011/1/1,72,35
2011/1/2,47,37
2011/1/3,26,37.5
2011/1/4,29,38
2011/1/5,55,35
2011/1/6,48,35
2011/1/7,71,30
2011/1/8,67,26.5
2011/1/9,82,24.5
2011/1/10,89,23.5
2011/1/11,60,25.5
2011/1/12,23,18.5
2011/1/14,26,6
2011/1/15,40,6
2011/1/16,58,13.5
2011/1/17,63,27
2011/1/18,78,28
2011/1/19,63,23
2011/1/20,46,32.5
2011/1/21,50,35.5
2011/1/22,18,39
2011/1/23,19,37
2011/1/24,18,39
2011/1/25,21,39
2011/1/26,33,38
2011/1/27,54,31.5
2011/1/28,71,27
2011/1/29,83,26
2011/1/30,88,22.5
2011/1/31,62,26.5
2011/2/1,3,39.5
2011/2/2,8,43.5
2011/2/3,26,38.5
2011/2/4,53,34
2011/2/5,70,28.5
2011/2/6,63,29.5
2011/2/7,67,26
2011/2/8,61,23
2011/2/9,37,32.5
2011/2/10,27,37
2011/2/11,7,38
2011/2/12,21,35
2011/2/13,20,30.5
2011/2/14,28,20
2011/2/15,54,15
2011/2/16,58,9.5
2011/2/17,87,13.5
2011/2/18,80,14
2011/2/19,11,29.5
2011/2/20,23,30.5
2011/2/21,66,25.5
2011/2/22,51,18
2011/2/23,66,12.5
2011/2/24,81,14
2011/2/25,82,18.5
2011/2/26,45,24
2011/2/27,24,13.5
2011/2/28,21,11.5
2011/3/1,55,12.5
2011/3/2,51,16.5
2011/3/3,45,18
2011/3/4,56,21
2011/3/5,55,28.5
2011/3/6,60,25.5
2011/3/7,74,22.5
2011/3/8,56,22
2011/3/9,53,27
2011/3/10,39,21.5
2011/3/11,55,14.5
2011/3/12,52,17
2011/3/13,52,24
2011/3/14,52,28
2011/3/15,51,32.5
2011/3/16,58,32
2011/3/17,48,34
2011/3/18,64,31
2011/3/19,60,30.5
2011/3/20,54,29
2011/3/21,65,30
2011/3/22,55,33
2011/3/23,52,33.5
2011/3/24,61,36
2011/3/25,58,38
2011/3/26,68,38
2011/3/27,67,38.5
2011/3/28,61,42
2011/3/29,44,39
2011/3/30,16,39
2011/3/31,12,38
2011/4/1,24,37
2011/4/2,38,37
2011/4/3,16,38.5
2011/4/4,22,36
2011/4/5,52,35.5
2011/4/6,53,37.5
2011/4/7,44,39
2011/4/8,3,36.5
2011/4/9,19,37
2011/4/10,23,36
2011/4/11,33,35.5
2011/4/12,26,40.5
2011/4/13,39,42
2011/4/14,69,38.5
2011/4/15,60,39.5
2011/4/16,55,39
2011/4/17,76,40
2011/4/18,70,38
2011/4/19,57,38
2011/4/20,42,39.5
2011/4/21,28,38
2011/4/22,27,39.5
2011/4/23,41,41
2011/4/24,54,41
2011/4/25,52,45
2011/4/26,23,43
2011/4/27,54,41
2011/4/28,38,42
2011/4/29,54,41
2011/4/30,52,40.5
2011/5/1,23,41.5
2011/5/2,16,46
2011/5/3,17,42.5
2011/5/4,16,41
2011/5/5,14,44
2011/5/6,16,46
2011/5/7,51,46
2011/5/8,48,44.5
2011/5/9,17,43
2011/5/10,16,41
2011/5/13,39,46.5
2011/5/14,53,44.5
2011/5/15,54,45.5
2011/5/16,31,47.5
2011/5/17,33,53
2011/5/18,33,47.5
2011/5/19,31,52.5
2011/5/20,22,51
2011/5/21,32,50.5
2011/5/22,8,48
2011/5/23,7,47.5
2011/5/24,28,48.5
2011/5/25,36,56.5
2011/5/26,56,56
2011/5/27,56,58.5
2011/5/28,52,53
2011/5/29,34,51.5
2011/6/2,38,53
2011/6/3,22,56.5
2011/6/4,45,48.5
2011/6/5,27,52.5
2011/6/6,33,52
2011/6/7,47,56
2011/6/8,55,53.5
2011/6/9,29,52
2011/6/10,28,52
2011/6/11,28,51
2011/6/12,38,53.5
2011/6/13,18,53.5
2011/6/14,35,51
2011/6/15,27,53.5
2011/6/16,39,53.5
2011/6/17,34,51.5
2011/6/18,42,54
2011/6/19,18,53
2011/6/20,24,54
2011/6/21,26,55
2011/6/22,34,59
2011/6/23,40,56.5
2011/6/24,46,56
2011/6/25,32,56
2011/6/26,33,58
2011/6/27,33,61
2011/6/28,34,54.5
2011/6/29,11,51
2011/7/1,11,51.5
2011/7/2,3,51.5
2011/7/3,21,52.5
2011/7/4,28,54.5
2011/7/5,13,53.5
2011/7/6,19,51.5
